full_name,repo_name,open_issues_count,closed_issues_count,closed_issues_percentage,merged_pull_requests_count,releases_count,hours_since_last_update,primary_language,repo_age_years
freeCodeCamp/freeCodeCamp,freeCodeCamp,310,19620,98.44,25444,0,0.0,TypeScript,10.65
codecrafters-io/build-your-own-x,build-your-own-x,410,595,59.2,138,0,0.0,Markdown,7.27
sindresorhus/awesome,awesome,52,340,86.73,674,0,0.0,,11.1
EbookFoundation/free-programming-books,free-programming-books,40,1150,96.64,6635,0,0.0,Python,11.85
public-apis/public-apis,public-apis,547,703,56.24,1842,0,0.0,Python,9.41
kamranahmedse/developer-roadmap,developer-roadmap,270,2692,90.88,3663,1,0.0,TypeScript,8.42
jwasham/coding-interview-university,coding-interview-university,78,453,85.31,411,0,0.0,,9.2
donnemartin/system-design-primer,system-design-primer,514,91,15.04,199,0,0.0,Python,8.47
996icu/996.ICU,996.ICU,16703,0,0.0,1036,0,0.0,,6.4
vinta/awesome-python,awesome-python,485,0,0.0,538,0,0.0,Python,11.14
awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,0,806,100.0,2357,1,0.0,,10.21
practical-tutorials/project-based-learning,project-based-learning,237,79,25.0,174,0,0.0,,8.35
facebook/react,react,1025,13184,92.79,12092,105,0.0,JavaScript,12.23
vuejs/vue,vue,602,9672,94.14,1130,249,0.0,TypeScript,12.05
TheAlgorithms/Python,Python,437,1511,77.57,2962,0,1.0,Python,9.09
torvalds/linux,linux,489,0,0.0,10,0,0.0,C,13.95
trekhleb/javascript-algorithms,javascript-algorithms,368,229,38.36,300,0,0.0,JavaScript,7.4
tensorflow/tensorflow,tensorflow,1537,39833,96.28,35796,219,1.0,C++,9.78
ossu/computer-science,computer-science,14,638,97.85,292,0,0.0,HTML,11.29
getify/You-Dont-Know-JS,You-Dont-Know-JS,125,863,87.35,362,0,0.0,,11.75
trimstray/the-book-of-secret-knowledge,the-book-of-secret-knowledge,100,0,0.0,117,0,0.0,,7.15
CyC2018/CS-Notes,CS-Notes,189,448,70.33,373,0,4.0,,7.51
ohmyzsh/ohmyzsh,ohmyzsh,503,4825,90.56,3349,0,0.0,Shell,15.97
Significant-Gravitas/AutoGPT,AutoGPT,229,3220,93.36,3174,67,0.0,Python,2.42
microsoft/vscode,vscode,12855,192682,93.75,36048,176,0.0,TypeScript,9.95
twbs/bootstrap,bootstrap,563,22342,97.54,8954,93,0.0,MDX,14.05
flutter/flutter,flutter,12125,96767,88.87,43737,7,0.0,Dart,10.45
jackfrued/Python-100-Days,Python-100-Days,737,118,13.8,13,0,2.0,Jupyter Notebook,7.46
github/gitignore,gitignore,314,0,0.0,1700,0,1.0,,14.77
jlevy/the-art-of-command-line,the-art-of-command-line,251,136,35.14,316,0,1.0,,10.25
AUTOMATIC1111/stable-diffusion-webui,stable-diffusion-webui,2419,5464,69.31,1866,27,0.0,Python,2.99
Snailclimb/JavaGuide,JavaGuide,72,1032,93.48,1177,0,3.0,Java,7.28
ollama/ollama,ollama,2093,6193,74.74,2456,142,0.0,Go,2.14
avelino/awesome-go,awesome-go,138,681,83.15,3431,0,0.0,Go,11.12
huggingface/transformers,transformers,1980,16683,89.39,16572,222,0.0,Python,6.8
airbnb/javascript,javascript,174,1269,87.94,806,0,1.0,JavaScript,12.79
massgravel/Microsoft-Activation-Scripts,Microsoft-Activation-Scripts,0,717,100.0,6,24,0.0,Batchfile,5.59
ytdl-org/youtube-dl,youtube-dl,4138,23122,84.82,1593,341,0.0,Python,14.8
vercel/next.js,next.js,3285,21025,86.49,23558,3224,0.0,JavaScript,8.86
f/awesome-chatgpt-prompts,awesome-chatgpt-prompts,279,0,0.0,167,0,0.0,JavaScript,2.7
n8n-io/n8n,n8n,1046,4466,81.02,10546,378,0.0,TypeScript,6.15
golang/go,go,9496,58720,86.08,1,0,0.0,Go,11.0
labuladong/fucking-algorithm,fucking-algorithm,42,916,95.62,238,1,1.0,Markdown,5.49
yangshun/tech-interview-handbook,tech-interview-handbook,54,74,57.81,479,0,2.0,TypeScript,9.12
Genymobile/scrcpy,scrcpy,2511,3164,55.75,113,47,2.0,C,7.74
521xueweihan/HelloGitHub,HelloGitHub,215,2627,92.43,16,57,0.0,Python,9.29
Chalarangelo/30-seconds-of-code,30-seconds-of-code,1,300,99.67,823,12,1.0,JavaScript,7.72
facebook/react-native,react-native,1084,26536,96.08,928,410,2.0,C++,10.6
yt-dlp/yt-dlp,yt-dlp,2039,8115,79.92,2873,116,0.0,Python,4.81
microsoft/PowerToys,PowerToys,7079,27512,79.54,5603,117,0.0,C#,6.3
